tesda_inst_id,name,region,old_region,province,old_province,city_municipality,old_city_municipality,district,municipality_class,type_of_institution,classification,institution_classification,address,latitude,longitude,coord_status,psgc_observed_region,psgc_observed_province,psgc_observed_municity,psgc_observed_barangay
TESDA00027,PROVINCIAL TRAINING CENTER - BASILAN,BARMM,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),Basilan,Basilan,,,,,,,Both,"Geras Rd., Sumagdang, Isabela City, Basilan",6.696842,121.96043,valid,09,09901,0990101,0990101047
TESDA00028,"J.I. Skills Training and Assessment Center, Inc)",BARMM,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),Lanao del Sur,Lanao del Sur,Balabagan,Balabagan,2nd,4th,Private,TVI,Both,"Igabay, Balabagan, Lanao del Sur",7.546216,124.185018,valid,19,19036,1903602,1903602008
TESDA00029,Prime Adept Learning & Multi Training and Assessment Center Inc.,BARMM,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),Lanao del Sur,Lanao del Sur,Balindong,Balindong,1st,4th,Private,TVI,Provider Only,"Brgy. Cadapaan, Balindong, Lanao del Sur",7.9883792,124.1059911,valid,10,10035,1003514,1003514013
TESDA00030,"View Valley Institute of Technology, Inc.",BARMM,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),Lanao del Sur,Lanao del Sur,Bubong,Bubong,Lone,2nd,Private,TVI,Provider Only,"Sunggod, Bubong, Lanao del Sur",7.977458,124.387281,valid,19,19036,1903606,1903606052
TESDA00031,Salahaddin Institute of Technology Inc.,BARMM,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),Lanao del Sur,Lanao del Sur,Ditsaan-Ramain,Ditsaan-Ramain,1st,3rd,Private,TVI,Both,"Brgy. Madanding Buaya-an, Ditsaan-Ramain, Lanao del Sur",7.967291,124.371704,valid,19,19036,1903624,1903624081
TESDA00032,"Bai Racma Multi-Skills Training Institute and Assesment Center, Inc.",BARMM,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),Lanao del Sur,Lanao del Sur,Ganassi,Ganassi,2nd,3rd,Private,TVI,Provider Only,"Pangadapun, Ganassi, Lanao del Sur",7.828801,124.101192,valid,19,19036,1903609,1903609051
TESDA00033,Maharatul Jawdati Training and Assessment Center Incorporated,BARMM,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),Lanao del Sur,Lanao del Sur,Lumba-Bayabao,Lumba-Bayabao,1st,2nd,Private,TVI,Provider Only,"Bacolod II, Lumba-Bayabao (Maguing), Lanao del Sur",7.871691,124.349103,valid,19,19036,1903611,1903611004
TESDA00034,Sultan Mangayao Tech-Voc Assessment and Training Center Inc.,BARMM,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),Lanao del Sur,Lanao del Sur,Lumba-Bayabao,Lumba-Bayabao,1st,2nd,Private,TVI,Provider Only,"01 Sittienaura Bldg., Dagalangit St., Brgy. Torogan-Rumayas, Lumba-Bayabao, Lanao del Sur",7.871865151,124.3585335,valid,19,19036,1903611,1903611097
TESDA00035,Madz Training Institute and Assessment Center Inc.,BARMM,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),Lanao del Sur,Lanao del Sur,Lumbatan,Lumbatan,1st,5th,Private,TVI,Provider Only,"Pantar, Lumbatan, Lanao del Sur",7.7701569,124.2323779,valid,19,19036,1903612,1903612021
TESDA00036,MZ Training and Assessment Center Inc.,BARMM,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),Lanao del Sur,Lanao del Sur,Madamba,Madamba,Lone,4th,Private,TVI,Provider Only,"Brgy. Balintad, Madamba,Lanao Del Sur",7.88159,124.04895,valid,19,19036,1903614,1903614005
TESDA00037,"FTMS Multi Skills Training and Assessment Center, Inc.",BARMM,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),Lanao del Sur,Lanao del Sur,Maranatao,Maranatao,Lone,2nd,Private,TVI,Provider Only,"Lot 4 Blk 15, Ahmad Sumbag Bldg., Maul Ilian, Marantao, Lanao del Sur",7.9655925,124.2510293,valid,19,19036,1903616,1903616097
TESDA00038,AM Multi-Skills Training and Assessment Center Inc.,BARMM,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),Lanao del Sur,Lanao del Sur,Marantao,Marantao,1st,2nd,Private,TVI,Provider Only,"0024 AMMSTACI Bldg., Caniyogan St., Maul Ilian, Marantao, Lanao del Sur",7.966593,124.25371,valid,19,19036,1903616,1903616097
TESDA00039,"Pagari Training and Assessment Center, Inc.",BARMM,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),Lanao del Sur,Lanao del Sur,Marantao,Marantao,Lone,1st,Private,TVI,Both,"Brgy. Lumbaca Ingud, Marantao, Lanao del Sur",7.9653062,124.1865669,valid,19,19036,1903621,1903621011
TESDA00040,"Pagari Training and Assessment Center, Inc.",BARMM,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),Lanao del Sur,Lanao del Sur,Marantao,Marantao,1st,2nd,Private,TVI,Both,"Brgy. Lumbaca Ingud, Marantao, Lanao del Sur",7.968537,124.254475,valid,19,19036,1903616,1903616110
TESDA00041,"Abrar Institute of Science, Inc.",BARMM,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),Lanao del Sur,Lanao del Sur,Marawi City,Marawi City,1st,Component,Private,TVI,Provider Only,"#3 Abrar, Datu Abrar Complex, Brgy. Patani, Marawi City, LDS",8.0084749,124.3242931,valid,19,19036,1903617,1903617125
TESDA00042,Al-Mumtazz Institute of Marawi - Training and Assessment Center Inc.,BARMM,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),Lanao del Sur,Lanao del Sur,Marawi City,Marawi City,1st,Component,Private,TVI,Provider Only,"9410 Purok, Poblacion, Marawi City, Lanao del Sur",8.01293,124.278952,valid,19,19036,1903617,1903617141
